rf_frequency(MHz),Lock in amp mag
2800.0,211.0
2800.25,195.0
2800.5,191.0
2800.75,192.0
2801.0,189.0
2801.25,187.0
2801.5,187.0
2801.75,185.0
2802.0,184.0
2802.25,185.0
2802.5,188.0
2802.75,190.0
2803.0,189.0
2803.25,193.0
2803.5,196.0
2803.75,199.0
2804.0,202.0
2804.25,203.0
2804.5,209.0
2804.75,213.0
2805.0,217.0
2805.25,224.0
2805.5,226.0
2805.75,235.0
2806.0,240.0
2806.25,244.0
2806.5,250.0
2806.75,258.0
2807.0,263.0
2807.25,271.0
2807.5,277.0
2807.75,282.0
2808.0,290.0
2808.25,298.0
2808.5,303.0
2808.75,309.0
2809.0,314.0
2809.25,323.0
2809.5,324.0
2809.75,332.0
2810.0,335.0
2810.25,341.0
2810.5,345.0
2810.75,352.0
2811.0,354.0
2811.25,358.0
2811.5,365.0
2811.75,365.0
2812.0,368.0
2812.25,371.0
2812.5,370.0
2812.75,374.0
2813.0,380.0
2813.25,380.0
2813.5,377.0
2813.75,378.0
2814.0,378.0
2814.25,377.0
2814.5,373.0
2814.75,372.0
2815.0,368.0
2815.25,365.0
2815.5,365.0
2815.75,363.0
2816.0,359.0
2816.25,352.0
2816.5,347.0
2816.75,339.0
2817.0,336.0
2817.25,329.0
2817.5,320.0
2817.75,314.0
2818.0,308.0
2818.25,303.0
2818.5,293.0
2818.75,285.0
2819.0,277.0
2819.25,269.0
2819.5,262.0
2819.75,254.0
2820.0,247.0
2820.25,236.0
2820.5,232.0
2820.75,219.0
2821.0,213.0
2821.25,204.0
2821.5,199.0
2821.75,192.0
2822.0,185.0
2822.25,183.0
2822.5,173.0
2822.75,167.0
2823.0,165.0
2823.25,159.0
2823.5,154.0
2823.75,150.0
2824.0,146.0
2824.25,142.0
2824.5,142.0
2824.75,139.0
2825.0,139.0
2825.25,136.0
2825.5,131.0
2825.75,131.0
2826.0,131.0
2826.25,133.0
2826.5,132.0
2826.75,133.0
2827.0,134.0
2827.25,132.0
2827.5,136.0
2827.75,136.0
2828.0,138.0
2828.25,143.0
2828.5,145.0
2828.75,149.0
2829.0,151.0
2829.25,156.0
2829.5,160.0
2829.75,166.0
