rf_frequency(MHz),Lock in amp mag
5e-08,1520.0
1e-07,2036.0
1.5e-07,2026.0
2e-07,2161.0
2.5e-07,2142.0
3e-07,2118.0
3.5e-07,2095.0
4e-07,2063.0
4.5e-07,2041.0
5e-07,2044.0
5.5e-07,2074.0
6e-07,2100.0
6.499999999999999e-07,2129.0
6.999999999999999e-07,2146.0
7.5e-07,2158.0
8e-07,2201.0
8.499999999999999e-07,2158.0
8.999999999999999e-07,2152.0
9.5e-07,2146.0
1e-06,2154.0
1.05e-06,2156.0
1.0999999999999998e-06,2166.0
1.15e-06,2181.0
1.2e-06,2195.0
1.2499999999999999e-06,2198.0
1.2999999999999998e-06,2206.0
