rf_frequency(MHz),Lock in amp mag
5e-08,628.0
1e-07,1092.0
1.5e-07,1134.0
2e-07,1188.0
2.5e-07,1228.0
3e-07,1271.0
3.5e-07,1295.0
4e-07,1323.0
4.5e-07,1352.0
5e-07,1372.0
5.5e-07,1390.0
6e-07,1414.0
6.499999999999999e-07,1433.0
6.999999999999999e-07,1450.0
7.5e-07,1463.0
8e-07,1481.0
8.499999999999999e-07,1490.0
8.999999999999999e-07,1505.0
9.5e-07,1513.0
1e-06,1518.0
1.05e-06,1532.0
1.0999999999999998e-06,1543.0
1.15e-06,1553.0
1.2e-06,1556.0
1.2499999999999999e-06,1569.0
1.2999999999999998e-06,1573.0
